"RNAseq1" "RNAseq2" "RNAseq3" "RNAseq4" "RNAseq5" "RNAseq6" "RNAseq7" "RNAseq8"
"ENSBTAG00000000568" 4 6 10 4 1 5 1 6
"ENSBTAG00000000569" 381 594 700 357 696 858 419 572
"ENSBTAG00000000570" 72 81 233 50 215 194 121 54
"ENSBTAG00000000571" 429 410 605 194 662 380 342 316
"ENSBTAG00000000573" 0 0 0 0 3 0 0 0
"ENSBTAG00000000574" 0 0 0 0 1 0 0 0
"ENSBTAG00000000575" 1687 2441 7290 791 19229 9173 8496 11760
"ENSBTAG00000000576" 34 34 24 37 38 16 3 43
"ENSBTAG00000000578" 1708 1696 2062 1234 1656 1379 1644 1356
"ENSBTAG00000000579" 6707 5090 6218 4491 11644 3937 4695 7582
"ENSBTAG00000000580" 0 2 0 0 1 0 0 2
"ENSBTAG00000000581" 459 664 1283 353 1300 807 798 848
"ENSBTAG00000000582" 303 336 977 26 87 164 469 116
"ENSBTAG00000000584" 6 15 10 8 14 10 7 15
"ENSBTAG00000000585" 108 70 214 6 153 51 150 92
"ENSBTAG00000000586" 2450 2671 3161 2077 3593 2123 2782 2555
"ENSBTAG00000000588" 673 908 1260 387 2423 1913 1189 1215
"ENSBTAG00000000589" 15 18 14 7 31 26 12 12
"ENSBTAG00000000590" 219 166 107 203 509 173 88 224
"ENSBTAG00000000593" 15 24 31 9 32 17 25 19
"ENSBTAG00000000595" 8 6 13 5 4 3 4 3
"ENSBTAG00000000597" 3 4 21 3 14 8 4 9
"ENSBTAG00000000598" 1511 2036 1672 1976 1984 1938 2428 1935
"ENSBTAG00000000599" 7201 6182 5377 6291 12517 4858 5625 6784
"ENSBTAG00000000601" 99 119 204 334 111 133 159 107
"ENSBTAG00000000602" 649 825 671 637 697 530 596 464
"ENSBTAG00000000603" 1095 1106 920 554 1879 799 939 1169
"ENSBTAG00000000604" 429 1650 1163 1180 646 1093 3317 2122
"ENSBTAG00000000605" 2801 3403 3932 3718 4090 2679 2037 2964
"ENSBTAG00000000606" 2 2 7 9 12 1 14 23
"ENSBTAG00000000607" 753 755 868 790 1472 814 545 765
"ENSBTAG00000000608" 694 696 735 520 1135 620 482 584
"ENSBTAG00000000609" 14 39 39 27 31 41 29 27
"ENSBTAG00000000611" 0 0 2 0 0 0 0 0
"ENSBTAG00000000613" 1178 1276 1133 903 2165 1029 845 1247
"ENSBTAG00000000616" 239 293 274 163 440 285 282 302
"ENSBTAG00000000617" 0 0 0 0 0 0 0 0
"ENSBTAG00000000619" 0 0 1 0 0 0 0 0
"ENSBTAG00000000620" 13 18 26 12 15 13 21 16
"ENSBTAG00000000621" 540 514 762 315 483 473 557 433
"ENSBTAG00000000622" 21424 39884 26070 31984 18328 29776 24658 17804
"ENSBTAG00000000623" 71 89 160 82 72 81 102 90
"ENSBTAG00000000625" 36 51 107 56 166 83 46 90
"ENSBTAG00000000626" 57 34 13 14 39 24 31 38
"ENSBTAG00000000628" 11 15 22 18 28 7 16 35
"ENSBTAG00000000629" 98 205 174 178 337 135 120 202
"ENSBTAG00000000630" 2435 2969 2784 2664 3807 1868 2219 2126
